id,unique_id,song_id,path,title,artist,album,genre,lyrics,isrc,playlists,length,amplify,fade_in,fade_out,cue_in,cue_out,cross_start_next
8438,5f246ef9e05e861f45cc9b6e,fe6c51772729bff9b1dac60f991733c4,kc_and_the_sunshine_band_-_get_down_tonight_(1975).mp3,"Get Down Tonight (1975)","KC and the Sunshine Band",,,,,default,193.149388,,,,,,
8439,0fa7d456ee312b3e3d38808e,bb49d054efd6cf02268486c6e4ece30b,kid_cudi_vs._crookers_-_day_n_night_(official_video).mp3,"Day 'n' Night (Official Video)","Kid Cudi vs. Crookers",,,,,default,186.096327,,,,,,
8440,6f870f3a294399f2b9a4dbe3,d713b27038a30ab90d83ac2b0227e68c,keha_-_tik_tok_(official_hd_video).mp3,"TiK ToK (Official HD Video)",Ke$ha,,,,,default,215.928163,,,,,,
8441,0b3de54024965d976b8e8f6b,12796e35613fc13823747c0ec5d0afae,kid_massive_t_elliotte_william_ndure___get_busy_(radio_edit).mp3,"Kid Massive t Elliotte WillIam N'dure   Get Busy (Radio Edit)",,,,,,default,198.112653,,,,,,
8442,9449c90615f5fef0fb4cb3d5,b904be5c72a184cfe6971b90f946dbda,kiesza_-_hideaway_(official_video).mp3,"Hideaway (Official Video)",Kiesza,,,,,default,274.99102,,,,,,
8443,d84296c79337213e57d61a20,bf363bd7b47fca990f7b8b22bab48dfc,kim_wilde_-_you_keep_me_hangin_on_(official_video).mp3,"You Keep Me Hangin' On (Official Video)","Kim Wilde",,,,,default,247.875918,,,,,,
8444,ecf20eba4f9eb5cfde1f0e5c,bf1bf7fd8d1d30da0f4b0a17cdeda111,"krewella,_yellow_claw_ft._vava_-_new_world_(official_music_video).mp3","New World (Official Music Video)","Krewella, Yellow Claw ft. Vava",,,,,default,167.131429,,,,,,
8445,3cb84e9ce628f91d15262e16,c0d45166d8a614f249783a6e7d591538,klaas__bodybangers_-_i_like_(official_video_hd).mp3,"I Like (Official Video HD)","Klaas & Bodybangers",,,,,default,182.047347,,,,,,
8446,8952108bbc3b08b2325ea9a4,3d2ce049f1c156566b79bb6d2f5a59f1,kiss_-_i_was_made_for_loving_you.mp3,"I Was Made For Loving You",KISS,,,,,default,307.382857,,,,,,
8447,33a93a6d6a3872a0dc15cd74,9ea7aeffff87064c86ea4162e1c0105e,kylie_minogue_-_in_my_arms_(official_video).mp3,"In My Arms (Official Video)","Kylie Minogue",,,,,default,221.126531,,,,,,
8448,d0c5ad5dc2fa259932be8e22,29c9344b3c7eb61e434f2d8a9fea9266,kylie_minogue_-_love_at_first_sight_(official_video)_[full_hd_remastered].mp3,"Love At First Sight (Official Video) [Full HD Remastered]","Kylie Minogue",,,,,default,237.897143,,,,,,
8449,e1e8d27df3178f2fd1493a6c,a6f74ede314abf800bb1517f1ecd08b1,la_camisa_negra.mp3,"La Camisa Negra",,,,,,default,216.790204,,,,,,
8450,fbc0e18b8ec004b2abdef4ec,d3f91b607cf1f496c63a7650651b8696,kylie_minogue_-_on_a_night_like_this_(official_video).mp3,"On A Night Like This (Official Video)","Kylie Minogue",,,,,default,249.965714,,,,,,
8451,c8f20f830c6fd0182f20823b,1e55ecb598b3b704698821fa6ac0c4d2,lady_gaga_-_bad_romance_(official_music_video).mp3,"Bad Romance (Official Music Video)","Lady Gaga",,,,,default,308.48,,,,,,
8452,76d7d199637c28f57826e6e9,3a7e0c73405b925423f8fe83192870d1,lady_gaga_-_poker_face_(official_music_video).mp3,"Poker Face (Official Music Video)","Lady Gaga",,,,,default,213.707755,,,,,,
8453,fb4a51032068c38dbf42b912,25bfa7f2a652f56f8384fd44a445aa40,lasgo_-_alone__(official_video).mp3,"Alone  (OFFICIAL VIDEO)",LASGO,,,,,default,249.573878,,,,,,
8454,978cbf0eb6778b836323b8de,9569800fb8b21ad4d63e9e475b7e9b6c,lady_gaga_-_alejandro.mp3,Alejandro,"Lady Gaga",,,,,default,523.363265,,,,,,
8455,6adb50fa48df1b2078ab3399,70fe170e667eeefcbbbe7c4af3708853,lasgo_-_something___(official_video).mp3,"Something   (OFFICIAL VIDEO)",Lasgo,,,,,default,243.017143,,,,,,
8456,8dd7dbe703964d80d0f10fa1,707d4f98b507a5e9b82eba59224f9737,laurent_wolf_-_wash_my_world_(official_music_video).mp3,"Wash My World (Official Music Video)","Laurent Wolf",,,,,default,215.980408,,,,,,
8457,fcb0ebf84814db5559f2f4b9,3ca29390cf53a0b8705e0ad0fb8e8dd0,"liam_payne,_rita_ora_-_for_you_(fifty_shades_freed)_(official_music_video).mp3","For You (Fifty Shades Freed) (Official Music Video)","Liam Payne, Rita Ora",,,,,default,248.555102,,,,,,
8458,929e35247d4db8c21ee05e88,45b171ff23146486512d019625bf64c4,lian_ross_--_say_youll_never.mp3,"Lian Ross ‎-- Say You'll Never",,,,,,default,157.701224,,,,,,
8459,74be43d0f65b93ac450838a2,8e069caacba53ab146fe093bfa7e713e,lian_ross_-_say_youll_never_(1985)_lianross.mp3,"Say You'll Never (1985) #lianross","Lian Ross",,,,,default,400.300408,,,,,,
8460,14f5cfb36f80712b0ac5969b,3e25a110b2dc0471739ff58b769f528e,live_it_up_(official_video)_-_nicky_jam_feat._will_smith__era_istrefi_(2018_fifa_world_cup_russia).mp3,"Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia)","Live It Up (Official Video)",,,,,default,236.199184,,,,,,
8461,fc133a8a6cf9107615876ff6,53433be5ea6916bb5f9fa22bbd46cc26,lindsey_stirling_-_roundtable_rival_(official_music_video).mp3,"Roundtable Rival (Official Music Video)","Lindsey Stirling",,,,,default,218.462041,,,,,,
